file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\scribbles\ImageEditorFragment.java,org.thoughtcrime.securesms.scribbles.ImageEditorFragment,class,60,64,4,60,154,2,0,212,655,0.9370461,0.38846153,0.76282054,59,5,39,19,1,0,40,0,0,0,28,8,1,27,0,0,13,0,26,809,30,1,49,1,10,6,24,103,16,94,4,4,4,8,315,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\devicetransfer\olddevice\OldDeviceTransferInstructionsFragment.java,org.thoughtcrime.securesms.devicetransfer.olddevice.OldDeviceTransferInstructionsFragment,class,7,7,0,7,5,3,0,13,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,1,0,3,2,0,0,2,30,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\contacts\avatars\ProfileContactPhoto.java,org.thoughtcrime.securesms.contacts.avatars.ProfileContactPhoto,class,8,13,5,8,12,1,0,13,0,0.41666666,0.53571427,0.53571427,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,1,36,8,0,4,0,0,1,0,4,0,4,1,0,0,0,38,1,0
C:\MetricsTest\Signal-Android-main\image-editor\lib\src\main\java\org\signal\imageeditor\core\renderers\InverseFillRenderer.java,org.signal.imageeditor.core.renderers.InverseFillRenderer$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\glide\cache\ApngFrameDrawableTranscoder.java,org.thoughtcrime.securesms.glide.cache.ApngFrameDrawableTranscoder$Anonymous1,anonymous,2,2,0,2,4,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,-1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\jobs\PushGroupSilentUpdateSendJob.java,org.thoughtcrime.securesms.jobs.PushGroupSilentUpdateSendJob,class,31,34,3,31,16,3,0,57,0,0.7125,0.2,0.2,8,1,4,2,2,0,6,0,0,0,10,6,1,9,0,0,10,0,2,91,8,2,1,0,1,13,1,25,8,28,1,0,1,3,105,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\util\GroupUtil.java,org.thoughtcrime.securesms.util.GroupUtil$GroupDescription,innerclass,8,8,0,8,12,1,0,19,0,0.22222222,1.0,1.0,3,0,1,1,0,1,2,0,0,0,3,0,0,3,0,0,3,0,0,42,3,1,5,0,0,4,3,9,1,8,2,0,0,0,19,9,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\audio\AudioHash.java,org.thoughtcrime.securesms.audio.AudioHash$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\util\HtmlUtil.java,org.thoughtcrime.securesms.util.HtmlUtil,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,5,1,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\push\SignalServiceEnvelopeEntityList.java,org.whispersystems.signalservice.internal.push.SignalServiceEnvelopeEntityList,class,1,2,1,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\mediaoverview\MediaOverviewPageFragment.java,org.thoughtcrime.securesms.mediaoverview.MediaOverviewPageFragment$ActionModeCallback,innerclass,8,8,0,8,4,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,1,0,0,1,0,1,0,0,0,0,27,2,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\api\groupsv2\GroupsV2AuthorizationString.java,org.whispersystems.signalservice.api.groupsv2.GroupsV2AuthorizationString,class,2,3,1,2,2,1,0,4,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,11,1,0,0,0,0,0,0,3,0,3,0,0,0,0,14,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\BindableConversationItem.java,org.thoughtcrime.securesms.BindableConversationItem,interface,16,20,4,16,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\megaphone\Megaphone.java,org.thoughtcrime.securesms.megaphone.Megaphone,class,12,21,9,12,19,1,0,2,100,0.8823529,0.016666668,0.016666668,17,0,16,1,0,0,16,0,0,0,15,1,1,14,0,0,15,0,0,174,16,0,2,0,0,1,0,15,0,15,0,0,3,0,82,1,0
C:\MetricsTest\Signal-Android-main\app\src\test\java\org\thoughtcrime\securesms\payments\history\BlockTransactionReconstructionTests.java,org.thoughtcrime.securesms.payments.history.BlockTransactionReconstructionTests$ReceivedList,innerclass,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\push\GetAciByUsernameResponse.java,org.whispersystems.signalservice.internal.push.GetAciByUsernameResponse,class,1,2,1,1,2,1,0,0,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\payments\preferences\PaymentsHomeRepository.java,org.thoughtcrime.securesms.payments.preferences.PaymentsHomeRepository,class,6,10,4,6,7,1,0,19,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,48,0,0,0,2,0,5,0,1,0,1,2,0,1,2,36,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\database\SQLiteDatabase.java,org.thoughtcrime.securesms.database.SQLiteDatabase$DedupedRunnable,innerclass,2,2,0,2,7,1,0,4,0,0.375,0.6666667,1.0,4,0,3,0,1,0,4,0,0,0,2,0,0,2,0,0,2,0,1,20,4,0,3,0,0,0,0,3,0,3,1,0,0,0,24,10,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\push\ReceiptCredentialRequestJson.java,org.whispersystems.signalservice.internal.push.ReceiptCredentialRequestJson,class,2,3,1,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5,0,0
C:\MetricsTest\Signal-Android-main\.idea\fileTemplates\internal\Interface.java,$,interface,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\lock\v2\CreateSvrPinViewModel.java,org.thoughtcrime.securesms.lock.v2.CreateSvrPinViewModel$NavigationEvent,innerclass,3,3,0,3,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,24,0
C:\MetricsTest\Signal-Android-main\video\lib\src\main\java\org\thoughtcrime\securesms\video\videoconverter\muxer\H264Utils.java,org.thoughtcrime.securesms.video.videoconverter.muxer.H264Utils,class,2,5,3,2,15,1,0,11,10,0.0,0.0,0.0,5,4,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,45,5,3,4,0,6,0,13,10,2,6,2,0,0,0,48,16,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\groups\ui\GroupMemberEntry.java,org.thoughtcrime.securesms.groups.ui.GroupMemberEntry$PendingMember,innerclass,6,6,0,6,15,2,0,6,0,0.375,0.78571427,1.0,8,0,7,0,0,1,8,0,0,0,3,0,0,3,0,0,3,0,2,44,8,0,3,0,3,1,4,8,1,5,1,0,0,0,38,25,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\push\ConfirmUsernameRequest.java,org.whispersystems.signalservice.internal.push.ConfirmUsernameRequest,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\wallpaper\crop\WallpaperCropActivity.java,org.thoughtcrime.securesms.wallpaper.crop.WallpaperCropActivity,class,33,35,2,33,16,3,0,74,12,0.71428573,0.2,0.3,8,1,2,3,3,0,5,0,0,0,7,3,0,7,0,0,4,0,3,139,4,0,5,0,1,5,1,30,3,46,2,1,1,6,110,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\notifications\RemoteReplyReceiver.java,org.thoughtcrime.securesms.notifications.RemoteReplyReceiver,class,14,14,0,14,10,2,0,25,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,5,5,0,0,0,5,0,0,47,2,0,6,0,0,9,5,18,0,17,3,0,0,1,68,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\jobs\StorageSyncJob.java,org.thoughtcrime.securesms.jobs.StorageSyncJob,class,41,44,3,41,54,9,0,116,74,0.8717949,0.0,0.0,13,5,4,7,2,0,6,0,0,0,3,3,2,1,0,0,3,0,32,324,13,1,10,4,0,59,8,46,19,41,4,0,5,2,411,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\groups\GroupManagerV2.java,org.thoughtcrime.securesms.groups.GroupManagerV2$SendGroupUpdateHelper,innerclass,17,17,0,17,8,1,0,21,1,0.33333334,0.33333334,0.33333334,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,4,40,4,0,1,1,0,0,3,9,0,9,3,0,0,0,37,8,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\push\DeviceLimit.java,org.whispersystems.signalservice.internal.push.DeviceLimit,class,1,4,3,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0
C:\MetricsTest\Signal-Android-main\core-util-jvm\src\main\java\org\signal\core\util\SetUtil.java,org.signal.core.util.SetUtil,class,1,4,3,1,5,1,0,4,10,0.0,0.0,0.0,5,4,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,22,4,0,0,0,0,0,0,3,0,3,0,0,0,0,11,17,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\push\PreKeyResponseItem.java,org.whispersystems.signalservice.internal.push.PreKeyResponseItem,class,4,6,2,4,5,1,0,0,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,22,5,0,0,0,0,1,0,0,0,5,0,0,0,0,16,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\conversation\ConversationMessage.java,org.thoughtcrime.securesms.conversation.ConversationMessage,class,16,31,15,16,33,1,0,30,25,0.8333334,0.34558824,0.4117647,18,1,17,1,0,0,17,0,0,0,10,1,0,10,0,0,10,0,3,146,21,0,12,0,3,2,0,15,1,13,1,0,2,0,74,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\groups\GroupManagerV2.java,org.thoughtcrime.securesms.groups.GroupManagerV2$GroupEditor,innerclass,49,49,0,49,72,2,0,111,0,0.656,0.9239766,1.0,25,0,3,6,0,16,19,0,0,0,5,0,0,5,0,0,5,0,22,312,32,2,10,7,0,20,6,71,5,65,3,0,0,4,208,16,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\contacts\ContactRepository.java,org.thoughtcrime.securesms.contacts.ContactRepository$SearchCursorWrapper,innerclass,4,4,0,4,9,2,0,7,0,0.5357143,0.5714286,1.0,7,0,6,0,0,1,7,0,0,0,4,0,0,4,0,0,4,0,1,42,6,1,1,0,0,0,1,8,0,7,1,0,0,0,40,10,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\payments\create\InputTarget.java,org.thoughtcrime.securesms.payments.create.InputTarget,enum,1,6,5,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\conversation\AttachmentKeyboardButtonAdapter.java,org.thoughtcrime.securesms.conversation.AttachmentKeyboardButtonAdapter$ButtonViewHolder,innerclass,7,7,0,7,3,2,0,7,1,0.33333334,0.33333334,0.33333334,3,0,1,0,0,2,3,0,0,0,2,0,0,2,0,0,2,0,0,17,0,0,0,0,0,0,0,2,0,3,0,0,0,1,17,8,0
C:\MetricsTest\Signal-Android-main\device-transfer\lib\src\main\java\org\signal\devicetransfer\DeviceTransferClient.java,org.signal.devicetransfer.DeviceTransferClient$WifiDirectListener,innerclass,5,5,0,5,6,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,1,0,0,1,1,0,0,0,1,0,0,0,40,16,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\push\PushServiceSocket.java,org.whispersystems.signalservice.internal.push.PushServiceSocket$RegistrationLockV2,innerclass,1,1,0,1,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,10,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\payments\backup\phrase\MnemonicPart.java,org.thoughtcrime.securesms.payments.backup.phrase.MnemonicPart,class,1,4,3,1,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,16,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\reactions\any\ReactWithAnyEmojiViewModel.java,org.thoughtcrime.securesms.reactions.any.ReactWithAnyEmojiViewModel,class,21,26,5,21,15,2,0,31,22,0.7901234,0.06666667,0.06666667,9,2,2,3,0,4,6,0,0,0,9,1,0,9,0,0,9,0,1,111,12,2,0,0,0,0,2,15,0,24,3,0,2,7,61,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\groups\ui\PopupMenuView.java,org.thoughtcrime.securesms.groups.ui.PopupMenuView$PrepareOptionsMenuItem,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\mediasend\MediaSendGifFragment.java,org.thoughtcrime.securesms.mediasend.MediaSendGifFragment,class,12,13,1,12,8,2,0,11,16,0.625,0.21428572,0.21428572,8,1,8,0,0,0,8,0,0,0,2,1,0,2,0,0,1,0,0,33,4,0,0,0,0,1,0,5,0,4,0,0,0,0,40,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\jobs\NullMessageSendJob.java,org.thoughtcrime.securesms.jobs.NullMessageSendJob,class,15,17,2,15,10,3,0,19,7,0.71428573,0.2,0.2,7,0,4,1,2,0,6,0,0,0,4,3,1,3,0,0,4,0,0,49,4,0,0,1,0,5,1,8,1,8,1,0,1,0,62,1,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\api\messages\SignalServiceGroup.java,org.whispersystems.signalservice.api.messages.SignalServiceGroup,class,5,6,1,5,9,1,0,3,18,0.73333335,0.25,0.7777778,9,2,9,0,0,0,9,0,0,0,5,0,0,5,0,0,5,0,3,72,7,0,0,0,0,0,0,5,0,5,0,0,2,0,81,1,0
C:\MetricsTest\Signal-Android-main\photoview\src\main\java\com\github\chrisbanes\photoview\OnOutsidePhotoTapListener.java,com.github.chrisbanes.photoview.OnOutsidePhotoTapListener,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\util\StaticCredentialsProvider.java,org.whispersystems.signalservice.internal.util.StaticCredentialsProvider,class,3,3,0,3,6,1,0,0,5,0.6666667,0.33333334,1.0,6,0,6,0,0,0,6,0,0,0,5,0,0,5,0,0,5,0,0,29,5,0,0,0,0,0,0,5,0,5,0,0,0,0,20,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\giph\model\GiphyImage.java,org.thoughtcrime.securesms.giph.model.GiphyImage$SizeFunction,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\profiles\AvatarHelper.java,org.thoughtcrime.securesms.profiles.AvatarHelper,class,11,18,7,11,33,1,0,35,99,0.9333333,0.0,0.0,15,15,13,2,0,0,13,0,0,0,5,5,2,3,0,0,2,0,21,158,22,0,5,3,1,4,8,25,1,23,1,1,1,1,108,1,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\websocket\OkHttpWebSocketConnection.java,org.whispersystems.signalservice.internal.websocket.OkHttpWebSocketConnection,class,34,35,1,34,63,2,0,97,100,0.85894746,0.43382353,1.0,25,0,17,8,0,0,17,0,0,13,19,2,1,18,0,0,18,0,18,264,11,3,19,2,1,47,14,44,11,41,4,0,1,0,150,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\components\PaymentPillStrip.java,org.thoughtcrime.securesms.components.PaymentPillStrip,class,6,6,0,6,10,2,0,9,13,0.6666667,0.06666667,0.06666667,6,0,4,0,2,0,6,0,0,0,2,0,0,2,0,0,0,0,0,37,0,0,0,0,0,0,0,2,0,2,1,0,0,0,28,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\net\UserAgentInterceptor.java,org.thoughtcrime.securesms.net.UserAgentInterceptor,class,4,5,1,4,2,1,1,5,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,11,1,0
C:\MetricsTest\Signal-Android-main\lintchecks\src\test\java\org\signal\lint\ThreadIdDatabaseDetectorTest.java,org.signal.lint.ThreadIdDatabaseDetectorTest,class,3,4,1,3,3,1,0,15,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,16,1,0,0,0,0,18,0,3,3,3,0,0,0,0,59,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\util\DynamicDarkActionBarTheme.java,org.thoughtcrime.securesms.util.DynamicDarkActionBarTheme,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\jobs\RetrieveProfileAvatarJob.java,org.thoughtcrime.securesms.jobs.RetrieveProfileAvatarJob$Factory,innerclass,7,7,0,7,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,25,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\logsubmit\LogSectionFeatureFlags.java,org.thoughtcrime.securesms.logsubmit.LogSectionFeatureFlags,class,3,3,0,3,7,1,0,17,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,41,2,4,0,0,0,17,4,9,0,9,2,0,0,0,23,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\preferences\widgets\StorageGraphView.java,org.thoughtcrime.securesms.preferences.widgets.StorageGraphView,class,12,13,1,12,11,2,0,19,13,0.71428573,0.06666667,0.06666667,7,0,4,1,2,0,6,0,0,0,5,0,0,5,0,0,3,0,1,79,1,1,2,0,1,0,9,17,5,13,1,0,2,0,46,17,0
C:\MetricsTest\Signal-Android-main\app\src\test\java\org\thoughtcrime\securesms\camera\OrderEnforcerTest.java,org.thoughtcrime.securesms.camera.OrderEnforcerTest,class,3,3,0,3,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,19,8,0,8,0,0,2,0,24,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\components\RecyclerViewFastScroller.java,org.thoughtcrime.securesms.components.RecyclerViewFastScroller,class,16,20,4,16,27,2,0,39,3,0.6875,0.2,0.26666668,10,0,4,4,2,0,6,0,0,0,8,2,0,8,0,0,5,0,0,141,4,0,9,0,5,2,14,20,15,17,2,3,1,0,91,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\crypto\ReentrantSessionLock.java,org.thoughtcrime.securesms.crypto.ReentrantSessionLock,enum,1,7,6,1,2,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\groups\v2\GroupInviteLinkUrl.java,org.thoughtcrime.securesms.groups.v2.GroupInviteLinkUrl$UnknownGroupLinkVersionException,innerclass,0,0,0,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0
C:\MetricsTest\Signal-Android-main\device-transfer\lib\src\test\java\org\signal\devicetransfer\WifiDirectTest.java,org.signal.devicetransfer.WifiDirectTest,class,6,6,0,6,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,7,0,5,0,5,0,0,0,0,17,1,0
C:\MetricsTest\Signal-Android-main\libsignal-service\src\main\java\org\whispersystems\signalservice\api\groupsv2\GroupChangeUtil.java,org.whispersystems.signalservice.api.groupsv2.GroupChangeUtil,class,18,19,1,18,101,1,0,51,325,0.0,0.0,0.0,26,25,3,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,221,3,17,37,0,0,0,39,47,13,47,2,0,0,0,146,17,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\util\AbstractCursorLoader.java,org.thoughtcrime.securesms.util.AbstractCursorLoader,class,6,7,1,6,22,2,0,20,14,0.75,0.25,0.25,8,0,5,0,3,0,8,1,0,0,4,1,0,2,2,0,3,0,2,62,2,0,8,0,1,5,0,8,2,7,2,0,0,0,53,1025,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\jobmanager\impl\AutoDownloadEmojiConstraint.java,org.thoughtcrime.securesms.jobmanager.impl.AutoDownloadEmojiConstraint,class,7,10,3,7,13,1,0,13,0,0.47619048,0.6,0.6,7,3,5,2,0,0,5,0,0,0,3,2,1,2,0,0,3,0,5,48,8,0,0,0,0,2,1,5,0,5,3,0,1,0,46,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\components\emoji\MediaKeyboard.java,org.thoughtcrime.securesms.components.emoji.MediaKeyboard,class,18,21,3,18,38,2,0,33,52,0.751634,0.25274727,0.4945055,17,1,12,3,2,0,14,0,0,0,9,2,0,9,0,0,2,0,2,133,8,0,14,0,2,5,4,20,1,15,2,0,2,2,87,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\util\RemoteDeprecation.java,org.thoughtcrime.securesms.util.RemoteDeprecation$ClientExpiration,innerclass,5,5,0,5,4,1,0,4,2,0.5,0.33333334,0.5,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,2,17,3,0,0,0,0,2,0,2,0,2,0,0,0,0,8,26,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\database\DatabaseObserver.java,org.thoughtcrime.securesms.database.DatabaseObserver,class,16,17,1,16,63,1,0,45,555,0.93948686,0.3151515,0.869697,50,2,44,5,0,1,45,0,0,0,39,19,0,39,0,0,39,0,15,384,0,9,3,1,0,19,1,44,8,46,2,0,3,45,136,1,0
C:\MetricsTest\Signal-Android-main\app\src\main\java\org\thoughtcrime\securesms\DeviceListFragment.java,org.thoughtcrime.securesms.DeviceListFragment,class,25,27,2,25,15,3,0,37,54,0.8452381,0.13333334,0.24444444,12,0,10,2,0,0,10,0,0,0,7,1,0,7,0,0,1,0,2,120,3,0,2,0,2,1,2,12,0,19,1,1,1,4,72,1,0
